Company Name,Company Link,Location
OpenAI,https://www.forbes.com/companies/openai/?list=cloud100,"San Francisco, California, United States"
Databricks,https://www.forbes.com/companies/databricks/?list=cloud100,"San Francisco, California, United States"
Stripe,https://www.forbes.com/companies/stripe/?list=cloud100,"Dublin, Ireland; San Francisco, California, United States"
Canva,https://www.forbes.com/companies/canva/?list=cloud100,"Sydney, Australia"
ServiceTitan,https://www.forbes.com/companies/servicetitan/?list=cloud100,"Glendale, California, United States"
Klaviyo,https://www.forbes.com/companies/klaviyo/?list=cloud100,"Boston, Massachusetts, United States"
Grammarly,https://www.forbes.com/companies/grammarly/?list=cloud100,"San Francisco, California, United States"
Talkdesk,https://www.forbes.com/companies/talkdesk/?list=cloud100,"San Francisco, California, United States"
Rubrik,https://www.forbes.com/companies/rubrik/?list=cloud100,"Palo Alto, California, United States"
Miro,https://www.forbes.com/companies/miro/?list=cloud100,"Amsterdam, Netherlands; San Francisco, California, United States"
Navan,https://www.forbes.com/companies/navan/?list=cloud100,"Palo Alto, California, United States"
Netskope,https://www.forbes.com/companies/netskope/?list=cloud100,"Santa Clara, California, United States"
Tanium,https://www.forbes.com/companies/tanium/?list=cloud100,"Kirkland, Washington, United States"
Attentive,https://www.forbes.com/companies/attentive/?list=cloud100,"New York, New York, United States"
Wiz,https://www.forbes.com/companies/wiz/?list=cloud100,"New York, New York, United States"
Carta,https://www.forbes.com/companies/carta/?list=cloud100,"San Francisco, California, United States"
Celonis,https://www.forbes.com/companies/celonis/?list=cloud100,"Munich, Germany; New York, New York, United States"
Grafana Labs,https://www.forbes.com/companies/grafana-labs/?list=cloud100,"New York, New York, United States"
Snyk,https://www.forbes.com/companies/snyk/?list=cloud100,"Boston, Massachusetts, United States"
Benchling,https://www.forbes.com/companies/benchling/?list=cloud100,"San Francisco, California, United States"
OneTrust,https://www.forbes.com/companies/onetrust/?list=cloud100,"Atlanta, Georgia, United States"
Checkr,https://www.forbes.com/companies/checkr/?list=cloud100,"San Francisco, California, United States"
Gong,https://www.forbes.com/companies/gong/?list=cloud100,"San Francisco, California, United States"
Zapier,https://www.forbes.com/companies/zapier/?list=cloud100,"Remote, United States"
Dialpad,https://www.forbes.com/companies/dialpad/?list=cloud100,"San Ramon, California, United States"
Gusto,https://www.forbes.com/companies/gusto/?list=cloud100,"San Francisco, California, United States"
AppsFlyer,https://www.forbes.com/companies/appsflyer/?list=cloud100,"San Francisco, California, United States"
Airtable,https://www.forbes.com/companies/airtable/?list=cloud100,"San Francisco, California, United States"
Arctic Wolf,https://www.forbes.com/companies/arctic-wolf/?list=cloud100,"Eden Prairie, Minnesota, United States"
OutSystems,https://www.forbes.com/companies/outsystems/?list=cloud100,"Lisbon, Portugal; Boston, Massachusetts, United States"
Guild,https://www.forbes.com/companies/guild/?list=cloud100,"Denver, Colorado, United States"
Motive,https://www.forbes.com/companies/motive/?list=cloud100,"San Francisco, California, United States"
Scale AI,https://www.forbes.com/companies/scale-ai/?list=cloud100,"San Francisco, California, United States"
Calendly,https://www.forbes.com/companies/calendly/?list=cloud100,"Atlanta, Georgia, United States"
Notion,https://www.forbes.com/companies/notion/?list=cloud100,"San Francisco, California, United States"
Plaid,https://www.forbes.com/companies/plaid/?list=cloud100,"San Francisco, California, United States"
Automation Anywhere,https://www.forbes.com/companies/automation-anywhere/?list=cloud100,"San Jose, California, United States"
Deel,https://www.forbes.com/companies/deel/?list=cloud100,"San Francisco, California, United States"
HighRadius,https://www.forbes.com/companies/highradius/?list=cloud100,"Houston, Texas, United States"
Seismic,https://www.forbes.com/companies/seismic/?list=cloud100,"San Diego, California, United States"
Zoho,https://www.forbes.com/companies/zoho/?list=cloud100,"Chennai, India; Austin, Texas, United States"
Postman,https://www.forbes.com/companies/postman/?list=cloud100,"San Francisco, California, United States"
Workato,https://www.forbes.com/companies/workato/?list=cloud100,"Mountain View, California, United States"
Dataiku,https://www.forbes.com/companies/dataiku/?list=cloud100,"New York, New York, United States"
Cohesity,https://www.forbes.com/companies/cohesity/?list=cloud100,"San Jose, California, United States"
Algolia,https://www.forbes.com/companies/algolia/?list=cloud100,"San Francisco, California, United States"
Collibra,https://www.forbes.com/companies/collibra/?list=cloud100,"Brussels, Belgium; New York, New York, United States"
Icertis,https://www.forbes.com/companies/icertis/?list=cloud100,"Bellevue, Washington, United States"
Druva,https://www.forbes.com/companies/druva/?list=cloud100,"Santa Clara, California, United States"
1Password,https://www.forbes.com/companies/1password/?list=cloud100,"Toronto, Canada"
Yardi,https://www.forbes.com/companies/yardi/?list=cloud100,"Santa Barbara, California, United States"
Fivetran,https://www.forbes.com/companies/fivetran/?list=cloud100,"Oakland, California, United States"
Checkout.com,https://www.forbes.com/companies/checkout/?list=cloud100,"London, United Kingdom"
Rippling,https://www.forbes.com/companies/rippling/?list=cloud100,"San Francisco, California, United States"
HiBob,https://www.forbes.com/companies/hibob/?list=cloud100,"London, United Kingdom"
Komodo Health,https://www.forbes.com/companies/komodo-health/?list=cloud100,"New York, New York; San Francisco, California, United States"
Outreach,https://www.forbes.com/companies/outreach/?list=cloud100,"Seattle, Washington, United States"
BrowserStack,https://www.forbes.com/companies/browserstack/?list=cloud100,"Dublin, Ireland"
Webflow,https://www.forbes.com/companies/webflow/?list=cloud100,"San Francisco, California, United States"
Pendo,https://www.forbes.com/companies/pendo/?list=cloud100,"Raleigh, North Carolina, United States"
Lucid,https://www.forbes.com/companies/lucid/?list=cloud100,"South Jordan, Utah, United States"
LaunchDarkly,https://www.forbes.com/companies/launchdarkly/?list=cloud100,"Oakland, California, United States"
ClickUp,https://www.forbes.com/companies/clickup/?list=cloud100,"San Diego, California, United States"
Retool,https://www.forbes.com/companies/retool/?list=cloud100,"San Francisco, California, United States"
Razorpay,https://www.forbes.com/companies/razorpay/?list=cloud100,"Bangalore, India"
Contentsquare,https://www.forbes.com/companies/contentsquare/?list=cloud100,"Paris, France"
6sense,https://www.forbes.com/companies/6sense/?list=cloud100,"San Francisco, California, United States"
Automattic,https://www.forbes.com/companies/automattic/?list=cloud100,"San Francisco, California, United States"
Papaya Global,https://www.forbes.com/companies/papaya-global/?list=cloud100,"Herzliya, Israel; New York, New York, United States"
Yotpo,https://www.forbes.com/companies/yotpo/?list=cloud100,"New York, New York, United States"
Highspot,https://www.forbes.com/companies/highspot/?list=cloud100,"Seattle, Washington, United States"
OwnBackup,https://www.forbes.com/companies/ownbackup/?list=cloud100,"Englewood Cliffs, New Jersey, United States"
Anthropic,https://www.forbes.com/companies/anthropic/?list=cloud100,"San Francisco, California, United States"
Sentry,https://www.forbes.com/companies/sentry/?list=cloud100,"San Francisco, California, United States"
Chainalysis,https://www.forbes.com/companies/chainalysis/?list=cloud100,"New York, New York, United States"
Forter,https://www.forbes.com/companies/forter/?list=cloud100,"New York, New York, United States"
Intercom,https://www.forbes.com/companies/intercom/?list=cloud100,"San Francisco, California, United States"
Contentful,https://www.forbes.com/companies/contentful/?list=cloud100,"Berlin, Germany; San Francisco, California; Denver, Colorado, United States"
Claroty,https://www.forbes.com/companies/claroty/?list=cloud100,"New York, New York, United States"
Abnormal Security,https://www.forbes.com/companies/abnormal-security/?list=cloud100,"San Francisco, California, United States"
Cloudinary,https://www.forbes.com/companies/cloudinary/?list=cloud100,"Santa Clara, California, United States"
Vanta,https://www.forbes.com/companies/vanta/?list=cloud100,"San Francisco, California, United States"
Dbt Labs,https://www.forbes.com/companies/dbt-labs/?list=cloud100,"Philadelphia, Pennsylvania, United States"
ActiveCampaign,https://www.forbes.com/companies/activecampaign/?list=cloud100,"Chicago, Illinois, United States"
Midjourney,https://www.forbes.com/companies/midjourney/?list=cloud100,"San Francisco, California, United States"
Brightwheel,https://www.forbes.com/companies/brightwheel/?list=cloud100,"San Francisco, California, United States"
Tekion,https://www.forbes.com/companies/tekion/?list=cloud100,"Pleasanton, California, United States"
Personio,https://www.forbes.com/companies/personio/?list=cloud100,"Munich, Germany"
Axonius,https://www.forbes.com/companies/axonius/?list=cloud100,"New York, New York, United States"
Harness,https://www.forbes.com/companies/harness/?list=cloud100,"San Francisco, California, United States"
Kong Inc.,https://www.forbes.com/companies/kong/?list=cloud100,"San Francisco, California, United States"
Moveworks,https://www.forbes.com/companies/moveworks/?list=cloud100,"Mountain View, California, United States"
Front,https://www.forbes.com/companies/front/?list=cloud100,"San Francisco, California, United States"
Mambu,https://www.forbes.com/companies/mambu/?list=cloud100,"Amsterdam, Netherlands"
Orca Security,https://www.forbes.com/companies/orca-security/?list=cloud100,"Portland, Oregon, United States"
Cribl,https://www.forbes.com/companies/cribl/?list=cloud100,"San Francisco, California, United States"
Cockroach Labs,https://www.forbes.com/companies/cockroach-labs/?list=cloud100,"New York, New York, United States"
Hugging Face,https://www.forbes.com/companies/hugging-face/?list=cloud100,"New York, New York, United States"
MessageBird,https://www.forbes.com/companies/messagebird/?list=cloud100,"Amsterdam, Netherlands"
DeepL,https://www.forbes.com/companies/deepl/?list=cloud100,"Cologne, Germany"
